name,scope,sha256_plugin,sha256_vault,identical,classification_sugerida,bytes_plugin,bytes_vault,model_plugin,model_vault,tools_plugin,has_Agent_plugin,has_Bash_plugin,filename_plugin,filename_vault
confucio-cfo,INTERSECTION,700139c4d1628a5b78dd51b01447a93cae23e434fad49fe12f193fa396964535,9d7ee7c2033c2a85f454d0007a18a5f6d643fad29833bae93eee522b5f6f6c20,no,CORE-GENERIC,4723,3409,opus,opus,Agent;Read;Edit;Grep;Glob;WebFetch;WebSearch;TaskCreate;TaskGet;TaskList;TaskUpdate;Write;AskUserQuestion,yes,no,confucio-cfo.md,confucio-cfo.md
content-seo,INTERSECTION,38aeef0e2907d52488bf8d4d512cdeed510dfb11ed87eeb033519bb56775dad3,1541d3012e487c53e1b2f4b0a1bda6f5185b6b406bf98f405d4c8f85643649b8,no,CORE-GENERIC,4649,3561,opus,opus,Read;Edit;Write;Grep;Glob;WebFetch;WebSearch;TaskCreate;TaskGet;TaskList;TaskUpdate;AskUserQuestion,no,no,content-seo.md,content-seo.md
cosimo-chief-of-staff,INTERSECTION,eec9f0c362302f374ad62d32cbc36eb3a026c8bf0c127680636c45076f785611,36bef6ec07091128b6cf85ecfa85e883430dbb0c8251e9cdcf4f3d2981fd9fd5,no,CORE-GENERIC,8691,7180,opus,opus,Agent;Read;Edit;Grep;Glob;WebFetch;WebSearch;TaskCreate;TaskGet;TaskList;TaskUpdate;Write;AskUserQuestion,yes,no,cosimo-chief-of-staff.md,cosimo-chief-of-staff.md
cosmo-coo,INTERSECTION,aae71cada142a2316d2bed31ea2b5f87e4bec56b9ce7534afcbd0e31bbc9e549,5430b7e80086e195992f7752e61d0cc7904578e770e1aaada601d8edf0f40b6b,no,CORE-GENERIC,5188,3932,opus,opus,Agent;Read;Edit;Grep;Glob;WebFetch;WebSearch;TaskCreate;TaskGet;TaskList;TaskUpdate;Write;AskUserQuestion,yes,no,cosmo-coo.md,cosmo-coo.md
customer-success,INTERSECTION,df1ba299df0a526a5f2336c22dfa31d9ba70e693d9e4cf54d02dfc4be2043ede,e23536263b615a6948e3e9f1100b25088c9e55d523c1010cf8809ed053623523,no,CORE-GENERIC,4203,3359,opus,opus,Read;Edit;Grep;Glob;WebFetch;WebSearch;TaskCreate;TaskGet;TaskList;TaskUpdate;Write;AskUserQuestion,no,no,customer-success.md,customer-success.md
data-engineer,INTERSECTION,11e93952927ed2009d484b68662db416eb078178ccc06f93fc12f8429eb1c019,7f3d8f04043d87f0a6073075128c557e4f4441588d24bf5b10e6a2f3562514c1,no,CORE-GENERIC,25478,24343,opus,opus,Read;Edit;Write;Grep;Glob;Bash;WebFetch;WebSearch;TaskCreate;TaskGet;TaskList;TaskUpdate;AskUserQuestion,no,yes,data-engineer.md,data-engineer.md
data-scientist,INTERSECTION,970e44cf526e04683f0a506fe724a02d78dbf32d9659d058760e16f4cbccf9c9,8e48e4b6653b4a50f1dd040568425cc07ac5cab1c9c1669a963f205cc1e2b760,no,CORE-GENERIC,16988,15676,opus,opus,Read;Edit;Write;Grep;Glob;Bash;WebFetch;WebSearch;TaskCreate;TaskGet;TaskList;TaskUpdate;AskUserQuestion,no,yes,data-scientist.md,data-scientist.md
devops-sre,INTERSECTION,9f890fb8899186f4e51e0d668d08cf3158573fa1ef78062921ec51fdb43b9909,fe596622ae90067fff44bb01bb77abbe0adda06775539f99906ed86220992c54,no,CORE-GENERIC,24484,22973,opus,opus,Read;Edit;Write;Grep;Glob;Bash;WebFetch;WebSearch;TaskCreate;TaskGet;TaskList;TaskUpdate;AskUserQuestion,no,yes,devops-sre.md,devops-sre.md
dr-advogado,VAULT_ONLY,,1f81edd0bfb0ac69d8358af94dfe7bb392c92cf4a06179844bb436459c4fb983,,PERSONAL-OVERLAY,,15995,,opus,,,,,dr-advogado.md
dr-medico-perito,VAULT_ONLY,,cb970d963fd1d5e56b2c34b05578ecfe2883dab9481e48081000474ec7c61761,,PERSONAL-OVERLAY,,16485,,opus,,,,,dr-medico-perito.md
